last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,followed
1.0,2.048719079250001,dpm,m,0.0,0.0,-1.411559549049121,1.0
0.0,0.19210142542251732,dpm,m,0.0,0.0,-1.411559549049121,0.0
0.0,-0.4267711258533107,dpm,m,0.0,0.0,-1.0156196394614971,0.0
0.0,-0.7362074014912245,dpm,m,0.0,0.0,-1.1036062860365243,0.0
0.0,-1.6645162284049666,dpm,m,0.0,0.0,-0.4876997600113318,0.0
0.0,-1.6645162284049666,dpm,m,0.0,0.0,-0.025769865492436938,1.0
0.0,-1.6645162284049666,dpm,m,0.0,0.0,-2.797349232605805,1.0
0.0,-1.6645162284049666,dpm,m,0.0,0.0,-2.3354193380869104,0.0
0.0,-1.6645162284049666,dpm,m,0.0,0.0,-1.9658754224717945,0.0
0.0,-1.6645162284049666,dpm,m,0.0,0.0,-1.8734894435680156,1.0
1.0,-0.9218691668739729,dpm,m,0.0,0.0,-1.6247579619039954,0.0
0.0,-1.0456436771291384,dpm,m,0.0,0.0,-1.411559549049121,0.0
0.0,-1.134054041597114,dpm,m,0.0,0.0,-1.2267875912415631,0.0
0.0,-1.2003618149480955,dpm,m,0.0,0.0,-1.2485254686306875,0.0
0.0,-1.2519345275544145,dpm,m,0.0,0.0,-1.1036062860365243,0.0
1.0,2.048719079250001,dpm,m,0.0,0.0,1.360019818064247,1.0
1.0,2.048719079250001,dpm,m,0.0,0.0,1.360019818064247,1.0
1.0,2.048719079250001,dpm,m,0.0,0.0,1.360019818064247,1.0
1.0,2.048719079250001,dpm,m,0.0,0.0,1.360019818064247,1.0
0.0,1.3060720177190077,dpm,m,0.0,0.0,1.360019818064247,1.0
0.0,0.8109739766983451,dpm,m,0.0,0.0,1.360019818064247,1.0
0.0,0.45733251882644343,dpm,m,0.0,0.0,1.360019818064247,1.0
0.0,0.19210142542251732,dpm,m,0.0,0.0,0.8057039446415736,1.0
1.0,0.3983922758477934,dpm,m,0.0,0.0,0.8560962967709073,1.0
1.0,0.563424956188014,dpm,m,0.0,0.0,0.8980899235453522,1.0
1.0,0.6984516946481947,dpm,m,0.0,0.0,0.9336229923544984,1.0
1.0,0.8109739766983451,dpm,m,0.0,0.0,0.9640799084766233,1.0
1.0,0.9061851384330879,dpm,m,0.0,0.0,0.9904759024491314,1.0
1.0,0.9877947056342962,dpm,m,0.0,0.0,1.013572397175076,1.0
0.0,0.8109739766983451,dpm,m,0.0,0.0,0.48478422844949903,1.0
0.0,0.6562558388793883,dpm,m,0.0,0.0,0.5285460079302365,0.0
1.0,0.7381654412541303,dpm,m,0.0,0.0,0.5681399988889988,1.0
0.0,0.6046831262730694,dpm,m,0.0,0.0,0.39599221211177127,1.0
1.0,0.680685018535013,dpm,m,0.0,0.0,0.2513880712189001,1.0
0.0,0.563424956188014,dpm,m,0.0,0.0,0.12820676601386136,0.0
1.0,0.6341532477623945,dpm,m,0.0,0.0,0.17220008930137498,0.0
1.0,0.6984516946481947,dpm,m,0.0,0.0,0.21315939029319841,0.0
1.0,0.7571589722395776,dpm,m,0.0,0.0,0.2513880712189001,1.0
0.0,0.6562558388793883,dpm,m,0.0,0.0,0.2871503856332656,0.0
0.0,0.563424956188014,dpm,m,0.0,0.0,0.3206775553967341,0.0
0.0,0.4777349106267454,dpm,m,0.0,0.0,0.3521727754775681,0.0
1.0,0.5359195094646438,dpm,m,0.0,0.0,0.011683909738825026,0.0
0.0,-1.6645162284049666,dpm,f,0.0,1.0,1.360019818064247,0.0
1.0,0.19210142542251732,dpm,f,0.0,1.0,1.360019818064247,1.0
1.0,0.8109739766983451,dpm,f,0.0,1.0,1.360019818064247,0.0
0.0,0.19210142542251732,dpm,f,0.0,1.0,1.360019818064247,1.0
0.0,-0.17922210534297936,dpm,f,0.0,1.0,1.360019818064247,0.0
1.0,0.19210142542251732,dpm,f,0.0,1.0,1.360019818064247,0.0
