last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,lie_detected
0.0,-0.8145914443858517,dpm,m,0.0,1.0,0.6847969966605219,1
1.0,0.9284521647730817,dpm,m,0.0,0.0,1.4620780709258987,0
0.0,0.3059365900734627,dpm,m,0.0,0.0,1.4620780709258987,0
1.0,2.17348331417232,dpm,f,2.0,3.0,1.4620780709258987,0
1.0,1.4264646245327772,dpm,f,2.0,3.0,1.4620780709258987,0
1.0,1.1063137575444015,dpm,f,2.0,3.0,1.4620780709258987,0
0.0,0.7728232710981771,dpm,f,2.0,3.0,0.1018361909614896,1
1.0,0.8152675148276964,dpm,f,2.0,3.0,-0.13820649373811175,1
0.0,0.6171943774232724,dpm,f,2.0,3.0,-0.04930179570122259,1
0.0,0.44959403038875934,dpm,f,2.0,3.0,0.030244513068625745,1
1.0,0.43043970501338646,dpm,f,2.0,3.0,0.16660961381693742,0
0.0,0.3059365900734627,dpm,f,2.0,3.0,0.2254945436855267,1
0.0,0.1960809004205887,dpm,f,2.0,3.0,0.1018361909614896,0
0.0,0.0984313985069229,dpm,f,2.0,3.0,-0.002797799805003638,1
0.0,0.011060791531537755,dpm,f,2.0,3.0,0.051456862073918676,1
1.0,0.22473890641699068,dpm,f,2.0,3.0,0.1018361909614896,1
1.0,0.3059365900734627,dpm,f,2.0,3.0,-0.008453691197786894,1
1.0,0.3059365900734627,dpm,f,2.0,3.0,0.06695819403932539,1
0.0,0.24153842717350218,dpm,f,2.0,3.0,0.002306297305557141,1
0.0,0.18143347513353889,dpm,f,2.0,3.0,-0.05633146949948849,1
0.0,0.12520626193486353,dpm,f,2.0,3.0,-0.02182216176254748,1
0.0,-1.5616101340253947,dpm,f,3.0,3.0,-0.351577769026647,1
1.0,2.17348331417232,dpm,m,0.0,0.0,-1.647046226135608,0
1.0,1.2397099521228914,dpm,m,0.0,0.0,-0.9561297156774952,0
1.0,1.1063137575444015,dpm,m,0.0,0.0,-1.077040105007665,0
0.0,0.7728232710981771,dpm,m,0.0,0.0,-1.2584056890029196,1
0.0,0.5134417816400025,dpm,m,0.0,0.0,-1.3879525347138157,0
0.0,0.3059365900734627,dpm,m,0.0,0.0,-1.6769416520688916,1
0.0,0.1361596151553847,dpm,m,0.0,0.0,-1.727454613128578,1
