,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
61,77,m,3.0,4.0,2023-10-27 11:43:35.358757,2023-10-27 11:47:41.898811,2023-10-27 14:07:43.865055,2023-10-27 11:40:35.655516,1.0,0 days 00:02:59.703241,0 days 00:07:06.243295,0 days 02:27:08.209539,0 days 02:27:08.209539
62,78,m,1.0,1.0,,,,2023-10-27 12:54:34.188218,,,,,
64,80,f,1.0,3.0,2023-10-27 18:31:49.109743,2023-10-27 18:34:41.609975,,2023-10-27 18:31:31.007463,,0 days 00:00:18.102280,0 days 00:03:10.602512,,
65,81,f,3.0,4.0,2023-10-27 19:37:35.002770,2023-10-27 19:43:53.537303,2023-10-27 20:00:20.283673,2023-10-27 19:36:28.616007,1.0,0 days 00:01:06.386763,0 days 00:07:24.921296,0 days 00:23:51.667666,0 days 00:23:51.667666
66,82,,,,2023-10-27 19:58:23.536569,2023-10-27 20:01:58.598653,,2023-10-27 19:56:44.897678,,0 days 00:01:38.638891,0 days 00:05:13.700975,,
67,83,m,3.0,4.0,2023-10-28 09:01:55.079779,2023-10-28 12:56:29.476508,2023-10-28 13:01:16.906611,2023-10-28 09:00:52.742168,1.0,0 days 00:01:02.337611,0 days 03:55:36.734340,0 days 04:00:24.164443,0 days 04:00:24.164443
68,84,m,3.0,4.0,2023-10-28 09:42:13.468259,2023-10-28 09:46:49.839773,2023-10-28 09:49:20.750125,2023-10-28 09:41:23.593729,1.0,0 days 00:00:49.874530,0 days 00:05:26.246044,0 days 00:07:57.156396,0 days 00:07:57.156396
69,85,m,2.0,3.0,,,,2023-10-28 09:59:27.304042,,,,,
70,86,m,1.0,1.0,2023-10-28 10:46:42.658900,2023-10-28 10:50:32.040420,2023-10-28 10:53:32.077418,2023-10-28 10:45:41.631572,1.0,0 days 00:01:01.027328,0 days 00:04:50.408848,0 days 00:07:50.445846,0 days 00:07:50.445846
71,87,m,1.0,3.0,,,2023-10-28 11:45:00.414399,2023-10-28 11:44:35.495937,0.0,,,,0 days 00:00:24.918462
72,88,m,1.0,2.0,2023-10-28 11:46:28.020216,2023-10-28 11:48:56.709854,2023-10-28 11:50:20.128380,2023-10-28 11:45:19.537474,1.0,0 days 00:01:08.482742,0 days 00:03:37.172380,0 days 00:05:00.590906,0 days 00:05:00.590906
73,89,m,2.0,2.0,2023-10-28 12:59:35.224089,2023-10-28 13:01:19.149560,2023-10-28 13:05:10.569736,2023-10-28 12:58:47.358314,1.0,0 days 00:00:47.865775,0 days 00:02:31.791246,0 days 00:06:23.211422,0 days 00:06:23.211422
74,90,m,1.0,3.0,2023-10-29 11:28:02.522598,2023-10-29 11:33:42.746144,2023-10-29 11:39:22.646097,2023-10-29 11:23:57.361056,1.0,0 days 00:04:05.161542,0 days 00:09:45.385088,0 days 00:15:25.285041,0 days 00:15:25.285041
75,91,m,1.0,2.0,2023-10-29 13:06:23.735669,2023-10-29 13:09:17.083597,2023-10-29 13:13:47.121469,2023-10-29 13:05:24.889241,0.0,0 days 00:00:58.846428,0 days 00:03:52.194356,,0 days 00:08:22.232228
77,93,m,1.0,1.0,2023-10-29 19:22:15.301437,2023-10-29 19:23:52.896066,2023-10-29 19:26:06.388934,2023-10-29 19:21:03.644275,1.0,0 days 00:01:11.657162,0 days 00:02:49.251791,0 days 00:05:02.744659,0 days 00:05:02.744659
78,94,m,1.0,1.0,2023-10-29 19:27:33.755038,2023-10-29 19:29:02.628525,2023-10-29 19:30:45.479448,2023-10-29 19:27:05.136623,1.0,0 days 00:00:28.618415,0 days 00:01:57.491902,0 days 00:03:40.342825,0 days 00:03:40.342825
