,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
46,68,f,0.0,0.0,,,2023-09-14 09:43:07.901536,2023-09-14 09:42:05.728546,0.0,,,,0 days 00:01:02.172990
47,69,m,0.0,0.0,2023-09-14 09:45:17.637433,,,2023-09-14 09:43:25.136818,,0 days 00:01:52.500615,,,
48,70,m,0.0,0.0,,,2023-09-14 09:54:41.574597,2023-09-14 09:53:38.629262,0.0,,,,0 days 00:01:02.945335
49,71,,,,,,2023-09-14 09:57:41.074598,2023-09-14 09:53:50.617192,0.0,,,,0 days 00:03:50.457406
50,72,m,0.0,0.0,,,,2023-09-14 09:55:19.488947,,,,,
51,73,,,,2023-09-14 10:05:54.035710,2023-09-14 10:14:26.029303,,2023-09-14 09:58:22.464390,,0 days 00:07:31.571320,0 days 00:16:03.564913,,
52,74,m,0.0,1.0,2023-09-14 10:16:40.477270,2023-09-14 10:18:03.164755,,2023-09-14 10:14:17.460543,,0 days 00:02:23.016727,0 days 00:03:45.704212,,
53,75,m,2.0,3.0,,,2023-09-14 10:16:27.867127,2023-09-14 10:15:16.285475,0.0,,,,0 days 00:01:11.581652
54,76,,,,2023-09-14 10:20:18.622909,,2023-09-14 10:24:58.137300,2023-09-14 10:19:03.117831,0.0,0 days 00:01:15.505078,,,0 days 00:05:55.019469
55,77,,,,2023-09-14 10:26:08.990824,2023-09-14 10:29:21.800785,2023-09-14 10:39:59.996482,2023-09-14 10:25:54.204708,1.0,0 days 00:00:14.786116,0 days 00:03:27.596077,0 days 00:14:05.791774,0 days 00:14:05.791774
56,78,,0.0,1.0,,,,2023-09-14 10:27:11.829236,,,,,
57,79,m,0.0,1.0,,,,2023-09-14 10:31:10.008515,,,,,
58,80,m,2.0,3.0,2023-09-14 10:38:06.265671,2023-09-14 10:40:48.733858,,2023-09-14 10:36:06.576593,,0 days 00:01:59.689078,0 days 00:04:42.157265,,
59,81,m,0.0,1.0,,,,2023-09-14 10:38:21.693521,,,,,
60,82,m,0.0,1.0,,,,2023-09-14 10:58:25.334885,,,,,
62,84,m,1.0,1.0,2023-09-14 11:03:27.001949,,,2023-09-14 11:02:31.835178,,0 days 00:00:55.166771,,,
63,85,f,1.0,2.0,,,,2023-09-14 11:04:31.868340,,,,,
67,89,f,1.0,1.0,,,,2023-09-14 11:05:05.528857,,,,,
