game_id,last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,manipulation_detected
23,1.0,2.17348331417232,event1,m,0.0,0.0,-1.2584056890029196,0
23,0.0,0.3059365900734627,event1,m,0.0,0.0,-1.2584056890029196,1
23,0.0,-0.3165789846261565,event1,m,0.0,0.0,-0.8697651518702314,1
23,0.0,-0.627836771975966,event1,m,0.0,0.0,-0.9561297156774952,1
24,0.0,-1.5616101340253947,event1,m,0.0,0.0,-0.351577769026647,1
25,0.0,-1.5616101340253947,event1,m,0.0,0.0,-2.618647568967329,0
25,0.0,-1.5616101340253947,event1,m,0.0,0.0,-2.1652336089791926,1
25,0.0,-1.5616101340253947,event1,m,0.0,0.0,-1.8025024409886832,1
25,1.0,-0.8145914443858517,event1,m,0.0,0.0,-1.4676736705359055,1
25,0.0,-0.9390945593257757,event1,m,0.0,0.0,-1.2584056890029196,1
25,0.0,-1.0280253557114354,event1,m,0.0,0.0,-1.077040105007665,1
25,0.0,-1.0947234530006804,event1,m,0.0,0.0,-1.0983772325365184,1
25,0.0,-1.1465997508923154,event1,m,0.0,0.0,-0.9561297156774952,1
26,1.0,2.17348331417232,event1,m,0.0,0.0,1.4620780709258987,0
26,0.0,1.4264646245327772,event1,m,0.0,0.0,1.4620780709258987,0
26,0.0,0.9284521647730817,event1,m,0.0,0.0,1.4620780709258987,0
26,0.0,0.5727289792304422,event1,m,0.0,0.0,1.4620780709258987,0
26,1.0,1.1063137575444015,event1,m,0.0,0.0,1.1220176009347964,0
26,0.0,0.9284521647730817,event1,m,0.0,0.0,0.6029779362115348,0
26,1.0,0.8552150383378326,event1,m,0.0,0.0,0.6847969966605219,0
26,1.0,0.7973962543100039,event1,m,0.0,0.0,0.37388456695437167,0
26,1.0,0.8743203756687672,event1,m,0.0,0.0,0.37388456695437167,0
26,0.0,0.7728232710981771,event1,m,0.0,0.0,0.40898758321151724,1
26,0.0,0.6794459348932341,event1,m,0.0,0.0,0.4418966609525919,1
28,1.0,0.9284521647730817,event1,f,0.0,1.0,1.4620780709258987,1
28,0.0,0.3059365900734627,event1,f,0.0,1.0,1.4620780709258987,0
28,1.0,0.3059365900734627,event1,f,0.0,1.0,1.4620780709258987,1
28,1.0,0.8152675148276964,event1,f,0.0,1.0,0.6847969966605219,1
28,1.0,0.8395213683874221,event1,f,0.0,1.0,0.8219642450602943,0
28,0.0,0.6794459348932341,event1,f,0.0,1.0,0.85752612427505,1
28,1.0,0.6355036590320846,event1,f,0.0,1.0,0.6847969966605219,1
28,1.0,0.6794459348932341,event1,f,0.0,1.0,0.5915232677486768,1
28,1.0,0.8288496728211429,event1,f,0.0,1.0,0.7366157349448808,1
29,1.0,1.2397099521228914,event1,m,0.0,1.0,0.5552501509496263,1
29,1.0,1.1063137575444015,event1,m,0.0,1.0,0.85752612427505,0
29,1.0,1.1548214646638524,event1,m,0.0,1.0,1.043542107859927,1
29,1.0,1.0242237916499461,event1,m,0.0,1.0,1.0993469029353897,0
29,0.0,0.8395213683874221,event1,m,0.0,1.0,0.5552501509496263,1
29,1.0,0.7728232710981771,event1,m,0.0,1.0,0.6459329429472531,0
30,0.0,-1.5616101340253947,event1,m,1.0,1.0,-0.351577769026647,1
30,1.0,-0.3165789846261565,event1,m,1.0,1.0,0.37388456695437167,0
30,0.0,-0.627836771975966,event1,m,1.0,1.0,-0.09248407760485447,0
30,1.0,-0.3165789846261565,event1,m,1.0,1.0,-0.5164555726586965,1
30,1.0,-0.16095009095125165,event1,m,1.0,1.0,-0.48112461473754264,1
30,1.0,0.3059365900734627,event1,m,1.0,1.0,-0.04930179570122259,1
30,0.0,0.16227914975816607,event1,m,1.0,1.0,0.030244513068625745,1
30,1.0,0.18143347513353889,event1,m,1.0,1.0,0.16660961381693742,1
30,1.0,0.4042285229207709,event1,m,1.0,1.0,0.051456862073918676,0
30,1.0,0.39486738645912267,event1,m,1.0,1.0,0.14874108337405523,1
30,1.0,0.3871342737299347,event1,m,1.0,1.0,-0.13820649373811175,1
30,0.0,0.3059365900734627,event1,m,1.0,1.0,-0.09248407760485447,1
30,1.0,0.3751049872623092,event1,m,1.0,1.0,0.030244513068625745,0
30,0.0,0.3059365900734627,event1,m,1.0,1.0,0.06695819403932539,1
30,1.0,0.3059365900734627,event1,m,1.0,1.0,0.13501282218013377,1
30,1.0,0.3059365900734627,event1,m,1.0,1.0,0.19673678723807647,1
30,0.0,0.2493442651007701,event1,m,1.0,1.0,0.13206378829403193,1
30,0.0,0.1960809004205887,event1,m,1.0,1.0,0.072894874366502,1
30,0.0,0.14586115657927487,event1,m,1.0,1.0,-0.06139283463423964,1
30,0.0,0.0984313985069229,event1,m,1.0,1.0,-0.03152085609384476,1
30,0.0,0.05356541114118476,event1,m,1.0,1.0,-0.002797799805003638,1
30,1.0,0.1692868297735464,event1,m,1.0,1.0,0.1018361909614896,1
30,1.0,0.34567162675641694,event1,m,1.0,1.0,0.16660961381693742,1
30,1.0,0.34404978852445983,event1,m,1.0,1.0,0.20647018172798284,1
30,1.0,0.44427338445115605,event1,m,1.0,1.0,0.1774051842928454,0
30,1.0,0.43933278465195247,event1,m,1.0,1.0,0.21212607312076612,0
30,1.0,0.5202452305438232,event1,m,1.0,1.0,0.23786037895793066,0
30,1.0,0.5393799305858199,event1,m,1.0,1.0,0.2821092111977364,0
30,0.0,0.5070570065148782,event1,m,1.0,1.0,0.2961564595278337,0
30,1.0,0.6385134039540812,event1,m,1.0,1.0,0.30442540712640176,1
30,0.0,0.6087820047921961,event1,m,1.0,1.0,0.3166112246400806,1
