game_id,last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,hint_trusted
23,1.0,2.048719079250001,mpd,m,0.0,0.0,-1.411559549049121,1.0
23,0.0,0.19210142542251732,mpd,m,0.0,0.0,-1.411559549049121,0.0
23,0.0,-0.4267711258533107,mpd,m,0.0,0.0,-1.0156196394614971,0.0
23,0.0,-0.7362074014912245,mpd,m,0.0,0.0,-1.1036062860365243,0.0
24,0.0,-1.6645162284049666,mpd,m,0.0,0.0,-0.4876997600113318,0.0
24,0.0,-1.6645162284049666,mpd,m,0.0,0.0,-0.025769865492436938,1.0
25,0.0,-1.6645162284049666,mpd,m,0.0,0.0,-2.797349232605805,1.0
25,0.0,-1.6645162284049666,mpd,m,0.0,0.0,-2.3354193380869104,0.0
25,0.0,-1.6645162284049666,mpd,m,0.0,0.0,-1.9658754224717945,0.0
25,0.0,-1.6645162284049666,mpd,m,0.0,0.0,-1.8734894435680156,1.0
25,1.0,-0.9218691668739729,mpd,m,0.0,0.0,-1.6247579619039954,0.0
25,0.0,-1.0456436771291384,mpd,m,0.0,0.0,-1.411559549049121,0.0
25,0.0,-1.134054041597114,mpd,m,0.0,0.0,-1.2267875912415631,0.0
25,0.0,-1.2003618149480955,mpd,m,0.0,0.0,-1.2485254686306875,0.0
25,0.0,-1.2519345275544145,mpd,m,0.0,0.0,-1.1036062860365243,0.0
26,1.0,2.048719079250001,mpd,m,0.0,0.0,1.360019818064247,1.0
26,1.0,2.048719079250001,mpd,m,0.0,0.0,1.360019818064247,1.0
26,1.0,2.048719079250001,mpd,m,0.0,0.0,1.360019818064247,1.0
26,1.0,2.048719079250001,mpd,m,0.0,0.0,1.360019818064247,1.0
26,0.0,1.3060720177190077,mpd,m,0.0,0.0,1.360019818064247,1.0
26,0.0,0.8109739766983451,mpd,m,0.0,0.0,1.360019818064247,1.0
26,0.0,0.45733251882644343,mpd,m,0.0,0.0,1.360019818064247,1.0
26,0.0,0.19210142542251732,mpd,m,0.0,0.0,0.8057039446415736,1.0
26,1.0,0.3983922758477934,mpd,m,0.0,0.0,0.8560962967709073,1.0
26,1.0,0.563424956188014,mpd,m,0.0,0.0,0.8980899235453522,1.0
26,1.0,0.6984516946481947,mpd,m,0.0,0.0,0.9336229923544984,1.0
26,1.0,0.8109739766983451,mpd,m,0.0,0.0,0.9640799084766233,1.0
26,1.0,0.9061851384330879,mpd,m,0.0,0.0,0.9904759024491314,1.0
26,1.0,0.9877947056342962,mpd,m,0.0,0.0,1.013572397175076,1.0
26,0.0,0.8109739766983451,mpd,m,0.0,0.0,0.48478422844949903,1.0
26,0.0,0.6562558388793883,mpd,m,0.0,0.0,0.5285460079302365,0.0
26,1.0,0.7381654412541303,mpd,m,0.0,0.0,0.5681399988889988,1.0
26,0.0,0.6046831262730694,mpd,m,0.0,0.0,0.39599221211177127,1.0
26,1.0,0.680685018535013,mpd,m,0.0,0.0,0.2513880712189001,1.0
26,0.0,0.563424956188014,mpd,m,0.0,0.0,0.12820676601386136,0.0
26,1.0,0.6341532477623945,mpd,m,0.0,0.0,0.17220008930137498,0.0
26,1.0,0.6984516946481947,mpd,m,0.0,0.0,0.21315939029319841,0.0
26,1.0,0.7571589722395776,mpd,m,0.0,0.0,0.2513880712189001,1.0
26,0.0,0.6562558388793883,mpd,m,0.0,0.0,0.2871503856332656,0.0
26,0.0,0.563424956188014,mpd,m,0.0,0.0,0.3206775553967341,0.0
26,0.0,0.4777349106267454,mpd,m,0.0,0.0,0.3521727754775681,0.0
26,1.0,0.5359195094646438,mpd,m,0.0,0.0,0.011683909738825026,0.0
28,0.0,-1.6645162284049666,mpd,f,0.0,1.0,1.360019818064247,0.0
28,1.0,0.19210142542251732,mpd,f,0.0,1.0,1.360019818064247,1.0
28,1.0,0.8109739766983451,mpd,f,0.0,1.0,1.360019818064247,0.0
28,0.0,0.19210142542251732,mpd,f,0.0,1.0,1.360019818064247,1.0
28,0.0,-0.17922210534297936,mpd,f,0.0,1.0,1.360019818064247,0.0
28,1.0,0.19210142542251732,mpd,f,0.0,1.0,1.360019818064247,0.0
28,0.0,-0.07312966798140903,mpd,f,0.0,1.0,0.744113292039054,0.0
28,1.0,0.19210142542251732,mpd,f,0.0,1.0,0.3521727754775681,0.0
28,1.0,0.3983922758477934,mpd,f,0.0,1.0,0.43616002902645795,0.0
28,1.0,0.563424956188014,mpd,f,0.0,1.0,0.5072261666447492,0.0
28,1.0,0.6984516946481947,mpd,f,0.0,1.0,0.5681399988889988,0.0
28,0.0,0.5015377010604314,mpd,f,0.0,1.0,0.6209319868340157,0.0
28,1.0,0.6205516532288599,mpd,f,0.0,1.0,0.6671249762859051,1.0
28,1.0,0.72256361223037,mpd,f,0.0,1.0,0.7078834963905133,1.0
28,0.0,0.563424956188014,mpd,f,0.0,1.0,0.744113292039054,0.0
28,0.0,0.4241786321509528,mpd,f,0.0,1.0,0.7765294249877486,1.0
28,1.0,0.5197398349214851,mpd,f,0.0,1.0,0.5681399988889988,0.0
28,0.0,0.3983922758477934,mpd,f,0.0,1.0,0.6041345361242376,1.0
28,1.0,0.48525158129001483,mpd,f,0.0,1.0,0.43616002902645795,1.0
28,1.0,0.563424956188014,mpd,f,0.0,1.0,0.47311442058796915,0.0
28,0.0,0.45733251882644343,mpd,f,0.0,1.0,0.5072261666447492,0.0
28,1.0,0.529668271572969,mpd,f,0.0,1.0,0.5388111166973233,0.0
28,1.0,0.5957139588632748,mpd,f,0.0,1.0,0.5681399988889988,1.0
